PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
539,00:00.0,15146,New Zealand,SO61315,1,1,24.99
529,00:00.0,15146,New Zealand,SO61315,2,1,3.99
222,00:00.0,15146,New Zealand,SO61315,3,1,34.99
490,00:00.0,15146,New Zealand,SO61315,4,1,53.99
225,00:00.0,15146,New Zealand,SO61315,5,1,8.99
536,00:00.0,21187,New Zealand,SO61316,1,1,29.99
480,00:00.0,21187,New Zealand,SO61316,2,1,2.29
485,00:00.0,17355,New Zealand,SO61317,1,1,21.98
485,00:00.0,18492,New Zealand,SO61318,1,1,21.98
217,00:00.0,18492,New Zealand,SO61318,2,1,34.99
529,00:00.0,20262,New Zealand,SO61319,1,1,3.99
538,00:00.0,20262,New Zealand,SO61319,2,1,21.49
480,00:00.0,20262,New Zealand,SO61319,3,1,2.29
478,00:00.0,28943,New Zealand,SO61320,1,1,9.99
477,00:00.0,28943,New Zealand,SO61320,2,1,4.99
214,00:00.0,28943,New Zealand,SO61320,3,1,34.99
237,00:00.0,14319,New Zealand,SO61321,1,1,49.99
467,00:00.0,14319,New Zealand,SO61321,2,1,24.49
480,00:00.0,12371,New Zealand,SO61322,1,1,2.29
483,00:00.0,12371,New Zealand,SO61322,2,1,120
384,00:00.0,25127,New Zealand,SO61361,1,1,1120.49
491,00:00.0,25127,New Zealand,SO61361,2,1,53.99
359,00:00.0,13648,New Zealand,SO61362,1,1,2294.99
480,00:00.0,13648,New Zealand,SO61362,2,1,2.29
575,00:00.0,11099,New Zealand,SO61367,1,1,2384.07
477,00:00.0,11099,New Zealand,SO61367,2,1,4.99
479,00:00.0,11099,New Zealand,SO61367,3,1,8.99
489,00:00.0,11099,New Zealand,SO61367,4,1,53.99
576,00:00.0,11904,New Zealand,SO61368,1,1,2384.07
222,00:00.0,11904,New Zealand,SO61368,2,1,34.99
565,00:00.0,29084,New Zealand,SO61369,1,1,742.35
561,00:00.0,11464,New Zealand,SO61370,1,1,2384.07
214,00:00.0,11464,New Zealand,SO61370,2,1,34.99
606,00:00.0,27515,New Zealand,SO61371,1,1,539.99
478,00:00.0,11122,New Zealand,SO61373,1,1,9.99
217,00:00.0,13046,New Zealand,SO61374,1,1,34.99
217,00:00.0,13150,New Zealand,SO61375,1,1,34.99
484,00:00.0,13613,New Zealand,SO61376,1,1,7.95
225,00:00.0,18199,New Zealand,SO61377,1,1,8.99
225,00:00.0,18270,New Zealand,SO61378,1,1,8.99
388,00:00.0,17734,New Zealand,SO61417,1,1,1120.49
386,00:00.0,24585,New Zealand,SO61418,1,1,1120.49
529,00:00.0,24585,New Zealand,SO61418,2,1,3.99
539,00:00.0,24585,New Zealand,SO61418,3,1,24.99
217,00:00.0,24585,New Zealand,SO61418,4,1,34.99
388,00:00.0,24484,New Zealand,SO61419,1,1,1120.49
363,00:00.0,13122,New Zealand,SO61420,1,1,2294.99
485,00:00.0,13122,New Zealand,SO61420,2,1,21.98
487,00:00.0,13122,New Zealand,SO61420,3,1,54.99
225,00:00.0,13122,New Zealand,SO61420,4,1,8.99
